model	backend	audio_s	rtf_min	rtf_median	speed_x	ram_gb	lang	e2e	cuda_match
nemotron-3.5-asr-streaming-0.6b	cpu	5.2	0.049	0.050	20.0	2.54	it-IT	ok	identical
nemotron-3.5-asr-streaming-0.6b	cuda	5.2	0.029	0.029	34.5	2.77	it-IT	ok	identical
parakeet-tdt-0.6b-v3	cpu	5.2	0.045	0.045	22.2	2.50	auto	ok	identical
parakeet-tdt-0.6b-v3	cuda	5.2	0.025	0.025	40.0	2.74	auto	ok	identical
parakeet-tdt_ctc-110m	cpu	5.0	0.016	0.016	62.5	0.60	auto	ok	identical
parakeet-tdt_ctc-110m	cuda	5.0	0.011	0.011	90.9	0.83	auto	ok	identical
canary-180m-flash	cpu	5.0	0.058	0.060	16.7	0.87	en	ok	identical
canary-180m-flash	cuda	5.0	0.051	0.051	19.6	1.10	en	ok	identical
canary-1b-flash	cpu	5.0	0.102	0.103	9.7	3.48	en	ok	identical
canary-1b-flash	cuda	5.0	0.071	0.072	13.9	3.71	en	ok	identical
canary-1b-v2	cpu	5.0	0.128	0.130	7.7	3.77	en	ok	identical
canary-1b-v2	cuda	5.0	0.102	0.115	8.7	4.00	en	ok	identical
nemotron-3.5-asr-streaming-0.6b	cpu	5.2	0.054	0.054	18.5	2.54	it-IT	ok	identical
nemotron-3.5-asr-streaming-0.6b	cuda	5.2	0.030	0.031	32.3	2.77	it-IT	ok	identical
parakeet-rnnt-0.6b	cpu	5.0	0.049	0.049	20.4	2.47	auto	ok	identical
parakeet-rnnt-0.6b	cuda	5.0	0.026	0.026	38.5	2.70	auto	ok	identical
parakeet-ctc-0.6b	cpu	5.0	0.047	0.047	21.3	2.44	auto	ok	identical
parakeet-ctc-0.6b	cuda	5.0	0.026	0.026	38.5	2.67	auto	ok	identical
parakeet-rnnt-1.1b	cpu	5.0	0.080	0.080	12.5	4.16	auto	ok	identical
parakeet-rnnt-1.1b	cuda	5.0	0.045	0.057	17.5	4.39	auto	ok	identical
parakeet-ctc-1.1b	cpu	5.0	0.080	0.084	11.9	4.13	auto	ok	identical
parakeet-ctc-1.1b	cuda	5.0	0.046	0.050	20.0	4.36	auto	ok	identical
